sector_id,sector_name,backward_linkage,forward_linkage,is_key_sector,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
1,Paddy,2.0569339881508193,1.990449914476078,False,0.23846153846153847,0.002545930866240487,0.4493317493317493,0.04306667085086366,0.005365362086900111
2,Wheat,1.507684683735533,1.3547323469568457,False,0.2692307692307693,0.0027856301681018656,0.44760355029585797,0.037983606443774465,0.004516808288036119
3,Jowar,2.2081817395765198,1.0720660357712968,False,0.12307692307692308,0.0001214577798922607,0.4216555183946488,0.025812120398442186,0.0027650121185445672
4,Bajra,1.296106161028073,1.0956233051835182,False,0.11538461538461539,0.0001394516017024212,0.4141527511634273,0.021662764135501167,0.002513037377797539
5,Maize,1.5983532218735013,1.0910672623488826,False,0.13076923076923078,0.00015328406480711622,0.4216555183946488,0.025812120398442186,0.0026234236997264263
6,Gram,1.363404832104991,1.1383682332051532,False,0.13846153846153847,0.00036665956640814036,0.4141527511634273,0.022259589175941563,0.002624118629113625
7,Pulses,1.8533530853644429,1.265856674173332,False,0.2230769230769231,0.0008737779246129924,0.44249780637613334,0.03410876914888393,0.0038397205146768944
8,Sugarcane,1.2191529563729857,2.49944970196687,False,0.2076923076923077,0.0007797596107202855,0.41862202545655786,0.02369622405719948,0.0022585489822294067
9,Groundnut,1.282249890036178,1.167407830984852,False,0.13076923076923078,0.00026746376735776,0.41268412438625207,0.021662764135501167,0.00237409967107917
10,Coconut,1.4079310024078842,1.132188696282289,False,0.1076923076923077,6.142955964065088e-05,0.40268831514506254,0.021313344215833363,0.0025656712617786147
11,Other oilseeds,1.4588264092674017,2.1396021868867923,False,0.19230769230769232,0.0005758996985543939,0.431025641025641,0.02943256038982184,0.002735346113657544
12,Jute,1.3898761765499292,1.40091407419751,False,0.09230769230769231,0.00022948860380128417,0.4012997347480106,0.01545133616955119,0.0019533240896912147
13,Cotton,1.4193949141885105,1.710708240521416,False,0.18461538461538463,0.0007284000804697318,0.4156318681318681,0.023778660476743877,0.002273317637923448
14,Tea,1.173203719699265,1.3047182585215553,False,0.09230769230769231,2.4485034888951656e-05,0.39855110642781877,0.017270318659124047,0.002230214807661237
15,Coffee,1.5048561237814675,1.3237670768603722,False,0.09230769230769231,3.754416851112077e-05,0.4112258765969013,0.022426651546224665,0.002883619645502482
16,Rubber,1.1397263473706443,1.1024118522938935,False,0.16923076923076924,0.0012618864342112625,0.431025641025641,0.03289681116203862,0.004101087494664397
17,Tobacco,1.192868186597835,1.1894104505625434,False,0.1,2.9815146094215862e-05,0.4209143169997263,0.024958418746456393,0.003628069859092648
18,Fruits,1.2044512598520176,1.5491646761649143,False,0.2153846153846154,0.00210851050062083,0.4294351405052512,0.02979259841858882,0.0038218926392301076
19,Vegetables,1.2201663897540227,1.0636120016050066,False,0.16153846153846155,0.0007554307801562708,0.4326279668287103,0.031071933925598316,0.004287748666616055
20,Other crops,1.4361815769390063,4.630912931494821,False,0.35384615384615387,0.006526640063824389,0.4458885941644562,0.04071484243767485,0.004788163007240616
21,Milk and milk products,1.5306802223540115,2.2966246193623263,False,0.26153846153846155,0.0030505297663719743,0.43915820029027575,0.027994058570779728,0.005629078119339382
22,Poultry & Eggs,1.8984238070713997,1.2873484493595209,False,0.13076923076923078,0.0017708190586371076,0.4231888111888112,0.020854309843728137,0.004500434195376348
23,Other liv.st. produ.,2.1960083249066216,3.619595365924819,False,0.4461538461538462,0.01128026458781041,0.42785633484162894,0.025345890117114002,0.004835663176408065
24,Animal Services,3.276500230815111,2.2687462478746285,False,0.2230769230769231,0.004953265630809418,0.4358686257562662,0.024266421305535368,0.004717923086983389
25,Forestry and Logging,1.357511689464702,2.256805858015753,False,0.3769230769230769,0.0026340173127073,0.4769546027742748,0.0624295869338612,0.0044432885040411145
26,Fishing & Aquaculture,1.2759873594141955,1.244968673045323,False,0.17692307692307693,0.0036085693997204944,0.4216555183946488,0.022126918801239293,0.004465278118698801
27,Coal and Lignite,1.837084203785747,4.541217722172112,False,0.576923076923077,0.014452317761504338,0.46365307998774136,0.06055356854015961,0.009616106174702111
28,Crude petroleum,1.9307268643277824,9.061656085983365,False,0.2230769230769231,0.0013038198817551775,0.46365307998774136,0.056045742592607285,0.004746901064648548
29,Natural Gas,2.07411155205865,1.701813550886896,False,0.18461538461538463,0.0005089885367018263,0.4528284944627357,0.04522649237459086,0.0035810334659250476
30,Iron ore,2.268491167821889,2.1043815707564737,False,0.2230769230769231,0.0006640595636574192,0.47891737891737896,0.06229045450296024,0.004394600189679062
31,Manganese ore,1.836584015584969,1.0741346742168985,False,0.23076923076923078,0.0004688013381735961,0.4849038461538461,0.06880321307129858,0.004485844028195254
32,Bauxite,1.9143628265817638,1.0708011004662676,False,0.23076923076923078,0.00046115455442108014,0.47307692307692306,0.07237455553857298,0.00571628224872838
33,Copper ore,1.4752884494176755,1.5125595889652208,False,0.2692307692307693,0.0017057380766519596,0.49733727810650885,0.07178097359326475,0.0066801089559820805
34,Other Metallic minerals,2.2485904115464312,1.3909802513014609,False,0.2692307692307693,0.0002879639497693855,0.4711616318903768,0.06460202924336625,0.0036803511287652113
35,Lime stone,1.9877772967330138,1.231741778485653,False,0.2,0.0010905676669652241,0.4750078492935636,0.07997043924991018,0.0053825260004179065
36,Mica,1.4513089930876315,1.000015670290412,False,0.06923076923076923,0.0,0.43009790209790216,0.02877860630178355,0.0021974070231133036
37,"Other non metallic
 minerals",6.036091416316331,1.6734655931727453,False,0.19230769230769232,0.0012246548753453348,0.4581768625075711,0.05848580195631129,0.004455610861853491
