source_sector,target_sector,input_coefficient,input_value
Other oilseeds,"Edible oils other than
 vanaspati",0.3810572547712544,2707291.0
Other oilseeds,"Miscellaneous food
 products",0.006221942882215693,262335.0
Other oilseeds,"Grain Mill products, starch and starch products",0.007203729541939699,200014.0
Other oilseeds,Inorganic heavy chemicals,0.0010582837366613356,20182.0
Other oilseeds,Fertilizers,0.0028205146439200263,3173.0
Other oilseeds,"Soaps, cosmetics &
 glycerin",0.00555148710940009,46932.0
Other oilseeds,Other chemicals,0.0018066607026016267,20510.0
Other oilseeds,Electricity,0.0027369321419892043,187085.0
Other oilseeds,Trade,0.004796952363425698,1030133.0
Jute,"Art silk, synthetic fiber
 textiles",0.007033058730879633,105658.0
Jute,"Jute, hemp, mesta textiles",0.2595964651979717,405566.0
Jute,Carpet weaving,0.04288337441512265,62753.0
Jute,"Miscellaneous textile
 products",0.0023602956978812455,20856.0
Jute,Ready made garments,0.003218278184621004,51950.0
Cotton,Cotton,0.012620824625360632,78663.0
Cotton,"Hydrogenated
 oil(vanaspati)",0.002880848211603451,3692.0
Cotton,"Edible oils other than
 vanaspati",0.0033286495681791855,23649.0
Cotton,"Khadi, cotton
 textiles(handlooms)",0.020694903445561613,39595.0
Cotton,Cotton textiles,0.24031956333408674,4263680.0
Cotton,Woolen textiles,0.060301351278572654,188105.0
Cotton,Silk textiles,0.005051637773465205,28290.0
Cotton,"Art silk, synthetic fiber
 textiles",0.032821229189729836,493075.0
Cotton,"Jute, hemp, mesta textiles",0.005877254857280384,9182.0
Cotton,Carpet weaving,0.0019318805391224602,2827.0
Cotton,"Miscellaneous textile
 products",0.05885449834040294,520049.0
Cotton,Ready made garments,0.029073534837814885,469310.0
Cotton,"Synthetic fibers, resin",0.006905879487290636,64840.0
Tea,Tea,0.04753573250447331,55072.0
Tea,Tea and coffee processing,0.2074958108676672,682550.0
Tea,"Miscellaneous food
 products",0.0010989051387031838,46333.0
Tea,Trade,0.0017142187385839707,368124.0
Coffee,Coffee,0.12116573686800723,98235.0
Coffee,Tea and coffee processing,0.13960937100998824,459240.0
Coffee,Trade,0.0011528382254145208,247569.0
Rubber,Rubber,0.007552985809652355,4141.0
Rubber,"Leather and leather
 products",0.0010745136279395784,3092.0
Rubber,Rubber products,0.011617957889602471,137196.0
Rubber,Plastic products,0.002859101264830143,62455.0
Rubber,Inorganic heavy chemicals,0.0019274796151123462,36758.0
Rubber,Organic heavy chemicals,0.0016006716664569633,49920.0
Rubber,"Paints, varnishes and
 lacquers",0.0025665413690379797,15532.0
Rubber,"Synthetic fibers, resin",0.0018468221824432393,17340.0
Rubber,Other chemicals,0.0016577939747909611,18820.0
Rubber,Machine tools,0.0012912003107912989,5032.0
Tobacco,Tobacco,0.00841639001810367,9033.0
Tobacco,Tobacco Products,0.16867185345130087,1033471.0
Fruits,Pulses,0.0010534786193990354,6449.0
Fruits,Fruits,0.00454246369464443,88062.0
Fruits,Sugar,0.0013103639120770855,7065.0
Fruits,"Khandsari, boora",0.00362302009038826,7643.0
Fruits,"Hydrogenated
 oil(vanaspati)",0.001112700311415634,1426.0
Fruits,"Edible oils other than
 vanaspati",0.004095045479157902,29094.0
Fruits,Tea and coffee processing,0.0018544054593696725,6100.0
Fruits,"Miscellaneous food
 products",0.10321793758134377,4351965.0
Fruits,Beverages,0.17792550703074828,1199933.0
Fruits,Inorganic heavy chemicals,0.0010404027162371201,19841.0
Fruits,Organic heavy chemicals,0.008668252716813093,270336.0
Fruits,"Soaps, cosmetics &
 glycerin",0.0017214436184927024,14553.0
