Metric,Train,Test,Difference
Mean,3.168221847660387,17.879100810573153,14.710878962912766
Std,12.39075240797423,167.33396969431462,154.9432172863404
Min,-51.84899845916795,-99.85130111524164,48.00230265607369
Max,85.72854291417164,2227.4000750807295,2141.671532166558
KS Statistic,0.10120320855614973,,
KS p-value,2.358890392682759e-07,,
