Rank,Model,RMSE,MAE,R²,MAPE (%)
1,Random Forest,165.96236449738183,27.043663518916706,0.016326437531177462,25406950846.64627
2,XGBoost (Tuned),166.44120855875187,27.640692535803392,0.010641946821381643,18570103737.48676
3,Mean Predictor,167.9793659159341,30.622113440851443,-0.00772874567423254,9600672426.96342
4,Linear Regression,1027.2995969246867,79.69801422309763,-36.68998871172437,18322110611.287693
