,Year,Month,ONI,Month_num,Date,ENSO_Phase,ONI_lag_1m,ONI_lag_3m,ONI_lag_6m
76,2016,AMJ,0.6,4,2016-04-01,El Nino,1.1,2.0,2.2
77,2016,MJJ,0.1,5,2016-05-01,Neutral,0.6,1.6,2.3
78,2016,JJA,-0.3,6,2016-06-01,Neutral,0.1,1.1,2.2
79,2016,JAS,-0.6,7,2016-07-01,La Nina,-0.3,0.6,2.0
80,2016,ASO,-0.8,8,2016-08-01,La Nina,-0.6,0.1,1.6
81,2016,SON,-0.8,9,2016-09-01,La Nina,-0.8,-0.3,1.1
82,2016,OND,-0.8,10,2016-10-01,La Nina,-0.8,-0.6,0.6
83,2016,NDJ,-0.7,11,2016-11-01,La Nina,-0.8,-0.8,0.1
84,2017,JFM,-0.1,1,2017-01-01,Neutral,-0.7,-0.8,-0.3
85,2017,DJF,-0.4,1,2017-01-01,Neutral,-0.1,-0.8,-0.6
86,2017,FMA,0.2,2,2017-02-01,Neutral,-0.4,-0.7,-0.8
87,2017,MAM,0.4,3,2017-03-01,Neutral,0.2,-0.1,-0.8
88,2017,AMJ,0.4,4,2017-04-01,Neutral,0.4,-0.4,-0.8
89,2017,MJJ,0.2,5,2017-05-01,Neutral,0.4,0.2,-0.7
90,2017,JJA,-0.1,6,2017-06-01,Neutral,0.2,0.4,-0.1
91,2017,JAS,-0.5,7,2017-07-01,La Nina,-0.1,0.4,-0.4
92,2017,ASO,,8,2017-08-01,Neutral,-0.5,0.2,0.2
93,2017,SON,,9,2017-09-01,Neutral,,-0.1,0.4
94,2017,OND,,10,2017-10-01,Neutral,,-0.5,0.4
95,2017,NDJ,,11,2017-11-01,Neutral,,,0.2
