sector_name,date,iip_index,iip_mom_growth,iip_yoy_growth,is_energy_intensive
General Index,2012-04-01,99.3,,,False
General Index,2012-05-01,105.0,5.740181268882183,,False
General Index,2012-06-01,102.3,-2.571428571428569,,False
General Index,2012-07-01,101.5,-0.782013685239491,,False
General Index,2012-08-01,99.9,-1.5763546798029493,,False
General Index,2012-09-01,99.0,-0.9009009009009028,,False
General Index,2012-10-01,103.7,4.747474747474745,,False
General Index,2012-11-01,98.3,-5.207328833172619,,False
General Index,2012-12-01,107.1,8.952187182095628,,False
General Index,2013-01-01,107.2,0.09337068160597539,,False
General Index,2013-02-01,101.4,-5.4104477611940265,,False
General Index,2013-03-01,115.2,13.609467455621305,,False
General Index,2013-04-01,102.6,-10.93750000000001,3.3232628398791597,False
General Index,2013-05-01,106.0,3.3138401559454245,0.952380952380949,False
General Index,2013-06-01,101.3,-4.4339622641509475,-0.9775171065493637,False
General Index,2013-07-01,104.7,3.3563672260612076,3.152709359605921,False
General Index,2013-08-01,104.3,-0.382043935052534,4.404404404404394,False
General Index,2013-09-01,105.7,1.342281879194629,6.767676767676778,False
General Index,2013-10-01,105.7,0.0,1.928640308582441,False
General Index,2013-11-01,101.9,-3.595080416272467,3.662258392675488,False
General Index,2013-12-01,110.9,8.832188420019627,3.548085901027087,False
General Index,2014-01-01,112.3,1.2623985572587815,4.75746268656716,False
General Index,2014-02-01,106.7,-4.986642920747997,5.226824457593682,False
General Index,2014-03-01,118.5,11.059044048734767,2.864583333333326,False
General Index,2014-04-01,106.6,-10.042194092827007,3.898635477582846,False
General Index,2014-05-01,111.0,4.12757973733584,4.716981132075482,False
General Index,2014-06-01,109.7,-1.1711711711711703,8.292201382033571,False
General Index,2014-07-01,110.4,0.6381039197812299,5.444126074498579,False
General Index,2014-08-01,108.0,-2.1739130434782705,3.547459252157248,False
General Index,2014-09-01,110.2,2.037037037037037,4.257332071901598,False
General Index,2014-10-01,106.0,-3.8112522686025385,0.2838221381267658,False
General Index,2014-11-01,109.4,3.207547169811331,7.360157016683022,False
General Index,2014-12-01,115.3,5.393053016453364,3.9675383228133354,False
General Index,2015-01-01,114.3,-0.8673026886383384,1.7809439002671512,False
General Index,2015-02-01,109.9,-3.849518810148722,2.9990627928772273,False
General Index,2015-03-01,121.3,10.373066424021825,2.362869198312234,False
General Index,2015-04-01,107.3,-11.541632316570482,0.6566604127579811,False
General Index,2015-05-01,113.0,5.312208760484616,1.8018018018018056,False
General Index,2015-06-01,110.8,-1.9469026548672552,1.0027347310847645,False
General Index,2015-07-01,111.8,0.902527075812265,1.26811594202898,False
General Index,2015-08-01,112.0,0.17889087656530744,3.703703703703698,False
General Index,2015-09-01,112.6,0.5357142857142838,2.177858439201441,False
General Index,2015-10-01,115.5,2.5754884547069423,8.962264150943389,False
General Index,2015-11-01,110.3,-4.502164502164508,0.8226691042047429,False
General Index,2015-12-01,118.9,7.796917497733458,3.1222896790980226,False
General Index,2016-01-01,118.9,0.0,4.024496937882782,False
General Index,2016-02-01,117.8,-0.925147182506314,7.188353048225649,False
General Index,2016-03-01,127.6,8.31918505942275,5.193734542456707,False
General Index,2016-04-01,113.7,-10.893416927899679,5.964585274930112,False
General Index,2016-05-01,121.3,6.684256816182943,7.345132743362837,False
General Index,2016-06-01,119.7,-1.3190436933223415,8.032490974729246,False
General Index,2016-07-01,116.8,-2.4227234753550597,4.472271914132375,False
General Index,2016-08-01,116.5,-0.25684931506848585,4.01785714285714,False
General Index,2016-09-01,118.2,1.4592274678111528,4.973357015985802,False
General Index,2016-10-01,120.3,1.7766497461928932,4.155844155844157,False
General Index,2016-11-01,115.9,-3.65752285951787,5.077062556663647,False
General Index,2016-12-01,121.7,5.0043140638481365,2.354920100925151,False
General Index,2017-01-01,123.1,1.1503697617091246,3.532380151387704,False
General Index,2017-02-01,119.2,-3.168155970755482,1.1884550084889645,False
General Index,2017-03-01,133.2,11.744966442952997,4.3887147335423204,False
General Index,2017-04-01,117.3,-11.936936936936926,3.16622691292876,False
General Index,2017-05-01,124.8,6.39386189258313,2.885408079142615,False
General Index,2017-06-01,119.3,-4.4070512820512775,-0.3341687552213868,False
General Index,2017-07-01,118.0,-1.0896898575020963,1.0273972602739656,False
General Index,2017-08-01,122.1,3.474576271186436,4.80686695278969,False
General Index,2017-09-01,123.1,0.8190008190008147,4.145516074450084,False
General Index,2017-10-01,122.5,-0.4874086108854536,1.8287614297589405,False
General Index,2017-11-01,125.8,2.693877551020396,8.541846419327005,False
General Index,2017-12-01,130.6,3.8155802861685295,7.313064913722256,False
General Index,2018-01-01,132.3,1.3016845329249849,7.473598700243711,False
General Index,2018-02-01,127.4,-3.703703703703709,6.879194630872476,False
General Index,2018-03-01,140.3,10.125588697017275,5.330330330330346,False
General Index,2018-04-01,122.6,-12.61582323592303,4.518329070758731,False
General Index,2018-05-01,129.6,5.709624796084833,3.8461538461538547,False
General Index,2018-06-01,127.7,-1.4660493827160392,7.041072925398151,False
General Index,2018-07-01,125.7,-1.566170712607673,6.525423728813551,False
General Index,2018-08-01,128.0,1.829753381066035,4.832104832104833,False
General Index,2018-09-01,128.8,0.6250000000000089,4.630381803411865,False
General Index,2018-10-01,132.8,3.105590062111796,8.408163265306134,False
General Index,2018-11-01,126.1,-5.0451807228915735,0.23847376788552754,False
General Index,2018-12-01,133.9,6.185567010309279,2.52679938744258,False
General Index,2019-01-01,134.4,0.37341299477222645,1.5873015873015817,False
General Index,2019-02-01,127.6,-5.059523809523814,0.15698587127157548,False
