"Sector Index","Sector Name","91 Batteries","92 Other electrical","93 Electrical appliances","94 Electronic equipments(i)","95 Watches and clocks","96 Communication","97 Ships and boats","98 Rail equipments","99 Motor vehicles"
"101","Bicycles, cycle-rickshaw","32","9","571","1810","0","4","0","58","4913"
"102","Other transport equipments","82","27","992","1311","26","151","12","23","20746"
"103","Aircraft & spacecraft","466","152","0","0","0","667","0","0","0"
"104","Medical, precision&optical instru.s","2270","741","6519","9870","165","8709","927","261","77863"
"105","Jems & jewelry","1686","508","3835","5308","137","3970","598","11","51557"
"106","Miscellaneous manufacturing","2904","841","17638","4992","3283","12952","3686","710","35632"
"107","Construction and construction services","13759","3896","72441","55202","27274","4637","2456","34492","720796"
"108","Electricity","108126","18827","326877","322792","28060","111002","15526","44529","3349695"
"109","Water Supply","6","2","248","91","0","0","0","49","36579"
"110","Railway Transport","3778","1577","17678","13675","374","3127","4574","7209","214566"
"111","Land transport","42856","15726","178880","133128","31276","36528","26728","48070","2579081"
"112","Water Transport","250","100","1076","757","17","188","88","392","5347"
"113","Air transport","4028","1275","24153","18934","115","4853","2915","6678","223929"
"114","Supportive and Auxiliary transport activities","2333","797","10886","7493","2643","2441","1221","3025","164069"
"115","Storage and warehousing","1","0","49","0","0","0","782","145","47410"
"116","Communication services","461","50","12926","3363","0","1106","442","566","63027"
"117","Trade","48278","15657","233898","184076","19707","49706","20209","94766","3785556"
"118","Hotels & Restaurant","0","0","2","0","0","0","3521","652","213452"
"119","Financial services","17035","3967","93768","47697","5686","23676","7930","9903","1540664"
"120","Insurance services","117","30","1106","1074","134","504","987","453","46573"
"121","Ownership of dwellings","0","0","0","0","0","0","0","0","0"
"122","Education and research","0","0","0","0","0","0","532","98","32240"
"123","Medical and Health","0","0","0","0","0","0","0","0","0"
"124","Legal services","0","0","0","0","0","0","287","115","25983"
"125","Computer related services","0","0","0","0","0","0","31","16","492"
"126","Other Business services","73332","16764","269455","216447","44051","234916","6405","5613","1897813"
"127","Real estate services","0","0","0","0","0","0","949","176","57517"
"128","Renting of machinery & equipment","928","81","1187","2454","481","777","8","24","15259"
"129","Community, social and personal services","20","4","69","14","0","0","19","3","493"
"130","Other services","0","0","0","0","0","0","75","18","1023"
"131","Public administration and defence","0","0","0","0","0","0","0","0","0"
"Total Input","929659","203281","4034753","2376586","291892","997885","612581","674643","45152296"
"NIT","90746","6549","253452","153978","3372","7085","-31329","7363","3159325"
"GVA","1373798","2819089","2082525","1287563","129782","1342018","709124","764004","13996041"
"Total Output","2394203","3028919","6370731","3818127","425046","2346988","1290376","1446010","62307661"
