Input Output Table 2015-16 (? lakhs),46 Tobacco Products,"47 Khadi, cotton",48 Cotton textiles,49 Woolen textiles,50 Silk textiles,"51 Art silk, synthetic","52 Jute, hemp, mesta",53 Carpet weaving,54 Miscellaneous textile,Column1
95 Watches and clocks,0,0,798,0,0,41,56,0,515,
96 Communication equipment,4831,0,66108,18,0,3696,3140,109,27944,
97 Ships and boats,0,0,3017,0,0,157,91,35,722,
98 Rail equipments,0,0,30,25,0,94,422,823,3490,
99 Motor vehicles,3524,0,13,1,0,2222,7436,14351,58954,
100 Motor cycles and scooters,0,0,0,0,0,119,610,1245,4969,
"101 Bicycles, cycle-rickshaw",0,0,372,0,0,22,27,36,213,
102 Other transport equipments,5555,0,36,0,0,0,19,185,197,1658
103 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,
"104 Medical, precision&optical instru.s",0,0,2750,1,0,150,88,0,688,
105 Jems & jewelry,0,0,35,1,713,139,13,8,246,
106 Miscellaneous manufacturing,0,1,2617,302,4074,3676,286,3905,7894,
107 Construction and construction services,6613,10,10182,956,6940,4975,640,1086,16392,
108 Electricity,32390,13150,466608,46448,39538,197592,35661,10152,110755,
109 Water Supply,8,40,681,28,10,73,2,3,129,
110 Railway Transport,9478,764,11809,693,44,11745,2596,582,9159,
111 Land transport,44118,23664,1124920,63026,2177,373646,50185,25046,408067,
112 Water transport,1341,66,2458,147,6,2044,394,72,1270,
113 Air transport,3466,1095,8254,1093,57,6024,1123,445,6425,
114 Supportive and Auxiliary transport activities,2566,2278,120138,7030,233,41817,3881,2481,43990,
115 Storage and warehousing,0,0,0,0,0,0,0,0,0,
116 Communication services,3728,203,12289,2339,4706,3970,706,1000,9261,
117 Trade,99420,55105,956359,83252,4926,875421,187868,58144,846189,
118 Hotels & Restaurant,0,0,0,0,0,0,0,0,0,
119 Financial services,141382,9685,313685,59745,167145,225334,28328,30185,150986,
120 Insurance services,3300,186,6179,394,2889,3529,151,285,2720,
121 Ownership of dwellings,0,0,0,0,0,0,0,0,0,
122 Education and research,0,0,0,0,0,0,0,0,0,
123 Medical and Health,0,0,0,0,0,0,0,0,0,
124 Legal services,0,0,0,0,0,0,0,0,0,
125 Computer related services,0,0,0,0,0,0,0,0,0,
126 Other Business services,20300,582,40227,3667,12141,77043,3281,2255,36298,
127 Real estate services,0,0,0,0,0,0,0,0,0,
128 Renting of machinery & equipment,123,68,1466,2049,6695,3347,412,140,1654,
"129 Community, social and personal services",0,0,0,0,0,0,0,0,0,
130 Other services,0,1,4,1,3,4,3,2,2,
131 Public administration and defence,0,0,0,0,0,0,0,0,0,
Total Input,2912603,314576,11633904,1473179,3222994,10245059,998522,538113,5632348,
NIT,233952,-4982,-500562,50911,734304,416558,21748,29616,107692,
GVA,2980555,1603678,6608369,1595326,1642867,4361433,542023,895612,3096141,
Total Output,6127110,1913272,17741710,3119416,5600164,15023051,1562294,1463341,8836181,
