sector_name,date,iip_index,iip_mom_growth,iip_yoy_growth,is_energy_intensive,io_sector_name,sector_id,backward_linkage,forward_linkage,is_key_sector,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,5,CRUDE_PETRO,WHEAT_US_HRW,RICE_05,COPPER,ALUMINUM,CRUDE_PETRO_logret,WHEAT_US_HRW_logret,RICE_05_logret,COPPER_logret,ALUMINUM_logret,CRUDE_PETRO_vol_3m,CRUDE_PETRO_vol_6m,CRUDE_PETRO_vol_12m,WHEAT_US_HRW_vol_3m,WHEAT_US_HRW_vol_6m,WHEAT_US_HRW_vol_12m,RICE_05_vol_3m,RICE_05_vol_6m,RICE_05_vol_12m,COPPER_vol_3m,COPPER_vol_6m,COPPER_vol_12m,ALUMINUM_vol_3m,ALUMINUM_vol_6m,ALUMINUM_vol_12m,CRUDE_PETRO_shock,WHEAT_US_HRW_shock,RICE_05_shock,COPPER_shock,ALUMINUM_shock,wpi_(a)__food_articles,wpi_ii_fuel_and_power,wpi_iii___manufactured_products,gdp_constant,gdp_current,gdp_growth_yoy,ARG,AUS,BRA,CAN,CHN,DEU,EA20,EU27_2020,FRA,GBR,IDN,IND,ITA,KOR,SAU,TUR,USA,ZAF,g20_avg_cpi_growth,energy_trade_value,total_trade_value,oil_shock_x_pagerank,oil_shock_x_betweenness,CRUDE_PETRO_lag1,WHEAT_US_HRW_lag1,RICE_05_lag1,COPPER_lag1,ALUMINUM_lag1,iip_yoy_growth_lag1,year,month,quarter,ONI,ONI_lag_1m,ONI_lag_3m,ONI_lag_6m,ENSO_Phase,oni_strong_elnino,oni_strong_lanina,oni_extreme,oni_standardized,oni_squared,oni_abs,oni_lag3_standardized,oni_lag6_standardized,oni_x_energy
Manufacture of chemicals and chemical products,2021-02-01,119.0,-9.57446808510638,-2.218570254724739,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,739,60.46333333333,289.4,557.0,8470.94,2078.59,0.1204258655039519,0.000345602215294,0.0217794452640399,0.0606872644062815,0.0365545760972805,0.0230184234872624,0.0820771053179061,0.2513072125795734,0.0483485738457172,0.0539137569286928,0.0599626983912605,0.0200809923497115,0.0483807310917279,0.070882122819799,0.034729677171373,0.0324097216280277,0.0554267246902498,0.0252956167165634,0.0269730759326066,0.0496143691745815,0,0,0,0,0,1.8099547511312373,2.02702702702704,6.060606060606055,2732306.16248034,3893942.58311172,-7.850749534698698,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,53.60333333333,289.3,545.0,7972.15,2003.98,5.3642914331465175,2021,2,1,-0.9,-1.0,-1.3,-0.6,La Nina,0,0,0,-1.141666939117375,0.81,0.9,-1.586587111536915,-0.7796691054805676,-0.9
Manufacture of chemicals and chemical products,2021-03-01,127.9,7.478991596638651,26.508407517309607,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,740,63.83,273.13,525.0,8988.25,2190.48,0.0541861785662527,-0.0578619418789375,-0.0591669773356602,0.0592766863652118,0.0524309186644166,0.0334466681219779,0.056760162191235,0.1919237309894663,0.0663030608912998,0.0576041725022796,0.0627878955498204,0.0554504684658731,0.0575962147201242,0.069771358375048,0.0199807853345835,0.032189146090985,0.03886552934387,0.0298349578416061,0.024763804514478,0.0460945404633959,0,0,0,0,0,3.4391534391534417,9.748743718592978,7.841483979763919,2732306.16248034,3893942.58311172,-7.850749534698698,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,60.46333333333,289.4,557.0,8470.94,2078.59,-2.218570254724739,2021,3,1,-0.8,-0.9,-1.2,-0.9,La Nina,0,0,0,-1.0272067575606203,0.6400000000000001,0.8,-1.4734190022203448,-1.118359183371543,-0.8
Manufacture of chemicals and chemical products,2021-04-01,118.1,-7.662236121970301,122.83018867924528,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,741,62.95,280.95,495.0,9324.82,2319.39,-0.0138825387776097,0.0282288452397615,-0.0588405000229334,0.0367614935939931,0.0571835221767165,0.0671562777744361,0.0556466719713877,0.1218362138393308,0.0439264860453627,0.0442702767889282,0.0623723326507253,0.0466404786589211,0.0536940413868799,0.0590369951737096,0.0134248907189665,0.0239143585070089,0.0322707616576473,0.0108027690107867,0.0258622931376256,0.0251777166618522,0,0,0,0,0,4.595469255663431,21.26948775055679,9.435551811288969,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,63.83,273.13,525.0,8988.25,2190.48,26.508407517309607,2021,4,2,-0.7,-0.8,-1.0,-1.2,La Nina,0,0,0,-0.9127465760038653,0.48999999999999994,0.7,-1.2470827835872045,-1.4570492612625183,-0.7
Manufacture of chemicals and chemical products,2021-05-01,109.1,-7.620660457239625,13.764337851929076,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,742,66.4,297.25,493.0,10161.97,2433.53,0.0533562959920319,0.0563968180126839,-0.0040485885260002,0.0859726585979004,0.0480386580668178,0.0390621297574042,0.0560079097739031,0.0854949455726599,0.0595260762590992,0.0488426713861342,0.0571991775500953,0.0317287906532233,0.0518182912816603,0.0518298277112056,0.0246351632158023,0.0269305637665307,0.0333322157592386,0.0045736151436051,0.0226292721676109,0.0228354272988235,0,0,0,0,0,4.245591116917047,36.73723536737234,11.252115059221657,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,62.95,280.95,495.0,9324.82,2319.39,122.83018867924528,2021,5,2,-0.5,-0.7,-0.9,-1.3,Neutral,0,0,0,-0.6838262128903557,0.25,0.5,-1.133914674270634,-1.5699459538928435,-0.5
Manufacture of chemicals and chemical products,2021-06-01,116.3,6.5994500458295136,-0.8525149190110826,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,743,71.80333333333,285.55,466.0,9631.5,2446.65,0.0782338437494639,-0.0401563904600192,-0.0563235399170442,-0.053613344072338,0.0053768638078831,0.0476539281582633,0.0461399800464101,0.0597419803594538,0.0496529576464216,0.0526300347991307,0.0576117214965305,0.0309331515707622,0.0465346450958693,0.0534610262520385,0.0707973659888008,0.0485627989282985,0.0434522675133211,0.0276513624749463,0.026192936649075,0.0236248872346006,0,0,0,0,0,3.2818532818532864,29.32242990654206,10.96121416526139,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,66.4,297.25,493.0,10161.97,2433.53,13.764337851929076,2021,6,2,-0.4,-0.5,-0.8,-1.2,Neutral,0,0,0,-0.569366031333601,0.16000000000000003,0.4,-1.0207465649540641,-1.4570492612625183,-0.4
Manufacture of chemicals and chemical products,2021-07-01,128.0,10.060189165950128,4.746317512274967,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,744,73.28333333333,294.27,414.0,9450.82,2497.64,0.0204023067268119,0.030080568133462,-0.1183196603003315,-0.0189374666921663,0.0206265440795335,0.0290096089405988,0.0462942087313089,0.0601291482384567,0.0499137546616518,0.0442597155983177,0.0514538955713114,0.0572044102757377,0.0490484171728895,0.0589375941342156,0.0726782899747441,0.0535674836297365,0.0425206805206296,0.0216179147584864,0.020174824030576,0.023847281393613,0,0,1,0,0,0.1239925604463731,27.012127894156567,11.457455770850888,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,71.80333333333,285.55,466.0,9631.5,2446.65,-0.8525149190110826,2021,7,3,-0.4,-0.4,-0.7,-1.0,Neutral,0,0,0,-0.569366031333601,0.16000000000000003,0.4,-0.9075784556374938,-1.2312558760018681,-0.4
Manufacture of chemicals and chemical products,2021-08-01,124.8,-2.500000000000002,4.962153069806563,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,745,68.86666666667,324.52,403.0,9370.14,2602.99,-0.0621609389411871,0.0978494542825304,-0.0269294118786314,-0.008573472787171,0.0413144982584121,0.0705595153238181,0.0520653547297488,0.0678135348447255,0.0690066004879878,0.0587041694083803,0.055221165036267,0.0466542445591285,0.0385239741034851,0.0555457761381461,0.0235881991934238,0.0526623285285593,0.0440692175350838,0.0180372658977408,0.0202612750914489,0.0230878508065881,0,0,0,0,0,-0.7975460122699451,28.15217391304348,11.557788944723612,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,73.28333333333,294.27,414.0,9450.82,2497.64,4.746317512274967,2021,8,3,-0.5,-0.4,-0.5,-0.9,Neutral,0,0,0,-0.6838262128903557,0.25,0.5,-0.6812422370043535,-1.118359183371543,-0.5
Manufacture of chemicals and chemical products,2021-09-01,124.3,-0.4006410256410242,-0.9561752988047844,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,746,72.8,337.55,400.0,9324.71,2834.56,0.0555436871851633,0.0393664799610153,-0.0074720148387009,-0.0048601715901596,0.0852259380286838,0.0604234849034957,0.0522374796250211,0.0590388871044829,0.0367403238369087,0.0450443261360637,0.0502885443041073,0.0591861024094578,0.042677500633152,0.0552172493776561,0.0072957888861937,0.0486780431193115,0.045230602942149,0.0329880980794668,0.028030319005088,0.0253488489336025,0,0,0,0,0,-2.5534441805225683,29.488574537540792,11.573688592839314,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,68.86666666667,324.52,403.0,9370.14,2602.99,4.962153069806563,2021,9,3,-0.7,-0.5,-0.4,-0.8,La Nina,0,0,0,-0.9127465760038653,0.48999999999999994,0.7,-0.5680741276877833,-1.005462490741218,-0.7
Manufacture of chemicals and chemical products,2021-10-01,125.9,1.2872083668543866,-1.6406249999999956,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,747,82.06333333333,354.67,401.0,9829.22,2934.39,0.1197753516704138,0.0494741321976755,0.0024968801985871,0.052691716228362,0.03461287290987,0.0922685388558848,0.0615815433806004,0.0583705675038639,0.0312585847036238,0.0452125573595857,0.0461412052921875,0.0149659381777856,0.046008108273197,0.0527818391662432,0.0343497495924021,0.0510594359676558,0.0449597189894527,0.0274918432925469,0.0272433459354879,0.0253590370865774,0,0,0,0,0,0.0583090379008721,38.6138613861386,12.873754152823924,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,72.8,337.55,400.0,9324.71,2834.56,-0.9561752988047844,2021,10,4,-0.8,-0.7,-0.4,-0.7,La Nina,0,0,0,-1.0272067575606203,0.6400000000000001,0.8,-0.5680741276877833,-0.8925657981108926,-0.8
Manufacture of chemicals and chemical products,2021-11-01,118.1,-6.195393169181895,-1.9102990033222689,True,Other chemicals,2,2.7370143378036307,3.863795517428938,True,0.9,0.034481929083077,0.5998810467882633,0.1594270289501656,0.0150452927085756,748,79.91666666667,379.45,400.0,9728.9,2636.45,-0.0265068817775743,0.0675350561643667,-0.0024968801985871,-0.0102587446871437,-0.1070662799502703,0.0733217730420591,0.0675466062782009,0.0635132597571465,0.0142701920892931,0.0462935671959577,0.0474356167346523,0.0049844504186551,0.0462214240484325,0.0504874261977109,0.0348906026326902,0.0343385522657291,0.046015783780779,0.0996752742753136,0.0648334371308958,0.0480788996072713,0,0,0,0,1,4.820693709582602,44.37367303609341,12.335526315789467,3350730.12579257,5178170.06594859,6.496249119692288,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82.06333333333,354.67,401.0,9829.22,2934.39,-1.6406249999999956,2021,11,4,-1.0,-0.8,-0.5,-0.5,La Nina,0,0,0,-1.25612712067413,1.0,1.0,-0.6812422370043535,-0.6667724128502425,-1.0
